reviews,class
"if you don't think kevin kline in drag is funny , wait ? til you see will smith in drag-it's even less funny . 
",negative
"if you have ever seen fox tv's special car chase programs , you'll have a good idea about the content of ronin , the new action "" thriller "" from director john frankenheimer . 
",negative
"the happy bastard's quick movie review 
",negative
"old soldiers never die , they just turn into cliches 
",negative
" "" what is this , a homicide or a bad b-movie ? "" 
",negative
"there's a scene early on in "" jawbreaker "" where a character utters the unintentionally prophetic line , "" that is * so * not funny "" . 
",negative
"can you say "" dated "" ? 
",negative
" "" the 44 caliber killer has struck again . "" 
",negative
"wow , a film without any redeeming qualities whatsoever . 
",negative
"bob the happy bastard's quickie review : 
",negative
"the summer of 00' wasn't a very good one for devout cinephiles . 
",negative
"what do you get when you rip-off good movies like woody allen's bananas and martin scorsese's after hours ? 
",negative
"wild things is a way to steam up an otherwise dreary early spring day ? provided , of course , that you're the victim of a frontal lobotomy . 
",negative
"like a good action film should , "" metro "" has action that keeps you involved . 
",negative
"capsule : dumb dud of an entry in the body heat sweepstakes , and now something of a landmark for having spawned a jillion clones . 
",negative
"capsule : gal is a 50s-ish london cockney gangster who has retired to spain . 
",negative
"synopsis : back-up quarterback moxxon becomes starting quarterback midway through his senior year of high school , even though he'd rather read "" slaughterhouse five "" than the playbook . 
",negative
"susan granger's review of "" american outlaws "" ( warner bros . ) 
",negative
"dear god , this is a fantastically bad film ! 
",negative
"welcome to your oh-so typical sequel . 
",negative
"synopsis : the president of a company wants to test his self-appointed successor , who's psychotic , and thinks it's a great idea to spend a week with him and their wives in an isolated cabin a hundred miles from civilization with no dependable transportation or means of communication after a heavy snowfall . 
",negative
"there should be a requirement that a potential viewer be under a certain film iq in order to see "" mission to mars . "" 
",negative
"underwater science fiction stays submerged 
",negative
"renowned hong kong action director tsui hark first teamed with jean-claude van damme on the action star's 1997 pairing with dennis rodman , _double_team_ , and managed to make what initially appeared to be a disaster into a slick , stylish , and somewhat diverting action timekiller . 
",negative
"upon first viewing of this movie , the phrases "" been there "" and "" done that "" come quickly to mind . 
",negative
"first impressions : critically , a close-to-awful film , but money-wise , it has been doing ( and will continue to do ) great . 
",negative
"there are movies that pose a question in its first five minutes and spend the rest of the time trying to answer it . 
",negative
"warning : may contain slight mild spoilers . 
",negative
" "" my name is jack carter , and you don't want to know me "" says our brooding anti-hero ( sylvester stallone ) . 
",negative
"you would think that this film's dismal failure would be due to american filmmakers getting hold of a brilliant british comedy and "" americanizing "" it . 
",negative
"robin williams has the rarest of gifts : the ability to rise above the most inept material and suffuse it with his irreverent style . 
",negative
"say , tell me if you've seen this before : a crisis on-board a commercial airliner causes a stewardess to have to fly and land the plane herself . 
",negative
"it should have been a classic . 
",negative
"in my review of "" the spy who shagged me , "" i postulated an unbreakable law of film physics : every time a sequel is as good as or better than the previous film in the series , it is followed by a third movie that is a bore . 
",negative
"i want to be involved in show business one day . 
",negative
"for a movie with such deep religious and spiritual undertones , it is surprising to find the messenger : the story of joan of arc such an ungodly mess . 
",negative
"possibly the years the most anticipated film and finally it arrives here in the uk . 
",negative
" "" holy man "" boasts a sweet , gentle , comic performance from an unusually subdued eddie murphy and a few moderately funny skits . 
",negative
"it's actually not so bad that dreamworks decided to release the love letter at about the same time as star wars episode i : the phantom menace , because this way less people will have to sit through this dreadful little comedy . 
",negative
"surrounded by hype , high hopes , and the promise of an over-the-top performance by clueless's brittany murphy , don't say a word looked full of promise . 
",negative
"some concepts seem patently hopeless from the beginning , a live-action version of mr . 
",negative
"breakdown is an moderately entertaining , if underwhelming , thriller . 
",negative
"ugh . that about sums this movie up . 
",negative
"ripe with explosions , mass death and really weird hairdos , tsui hark's "" double team "" must be the result of a tipsy hollywood power lunch that decided jean-claude van damme needs another notch on his bad movie-bedpost and nba superstar dennis rodman should have an acting career . 
",negative
"synopsis : a man whose lover , paris , was murdered agrees to test out an experimental virtual reality home unit system . 
",negative
"yeah , yeah , the advertisements didn't even try to conceal the fact that this movie had only one hook - sex . 
",negative
"i was recently told that in china their had been strong protests against the release of red corner  and this is apparently because of the way it shows the injustice of many chinese laws . 
",negative
"not so long ago , men by the names of peckinpah , ford , leone , and eastwood made westerns . 
",negative
"actually , i'm fairly sure the experience of having my flesh torn and mutilated by barbed wire would have been more positive than watching this movie . 
",negative
"part buddy comedy , part fish-out-of-water story , part nature tale , meet the deedles is not nearly as interesting as any of those archetypes . 
",negative
"adam sandler isn't known for appearing in deep , thought-provoking films , but he's still a really funny guy . 
",negative
"at the end of an action scene in "" lara croft : tomb raider , "" a wall collapses near the nubile warrior . 
",negative
"when robert forster found himself famous again after appearing in "" jackie brown "" , he immediately signed up for a little film called "" american perfekt "" . 
",negative
"you'd think that after awhile hollywood would stop trying to make movies out of video games . 
",negative
"the last of vampire-films offers plenty of blood and gore , but beyond that - nothing . 
",negative
"i'm not sure who the genius is who came up with the idea of comparing "" disturbing behavior "" with "" scream . "" 
",negative
"in the interest of being generous , i want to start this review with the scene that i liked in meet joe black . 
",negative
"a cop with a troubled personal life . 
",negative
"can a horror movie truly be called a horror movie if it has no scares , suspense , or even eerie elements ? 
",negative
"arnold schwarzenegger has been an icon for action enthusiasts , since the late 80's , but lately his films have been very sloppy and the one-liners are getting worse . 
",negative
"i still can't figure out why people went in droves to see this movie . 
",negative
"gordie boggs ( arquette , aptly cast as a moron , as he is one ) and his best friend sean dawkins ( scott caan . 
",negative
"when i arrived in paris in june , 1992 , i was surprised to find france plastered with posters twin peaks : fire walk with me , since the movie wasn't scheduled to open in the u . s . until late august . 
",negative
"capsule : this super-light situation comedy from sweden tells the story of two close friends with romantic problems . 
",negative
"remember tom cruise and brian brown as rival bartenders juggling bottles of booze in "" cocktail "" ? 
",negative
"confucius once said , "" governing a nation is like cooking a small fish -- don't overdo it . "" 
",negative
"it seemed like the perfect concept . 
",negative
"there's a scene somewhere in this film where one of the characters reads the book "" screenwriting made easy . "" 
",negative
"the yet-to-be-released krippendorf's tribe is being marketed as a family comedy , but buyer beware . 
",negative
"it's been hours since i returned from the much anticipated sci-fi opus `mission to mars' , and i can still detect the reek of moldy cheddar . 
",negative
"despite its exceedingly well-done visual effects , 1995's original species was one big hunk of sci-fi cheese , from the writing to the feeble performances . 
",negative
"the marvelous british actor derek jacobi stars in writer and director john maybury's love is the devil about the popular modern artist francis bacon . 
",negative
" "" payback , "" brian helgeland's inauspicious directing debut ( coincidentally , he previously penned the award-winning screenplay for 1997's "" l . a . confidential "" ) , is a wildly uneven and thoroughly unpleasant revenge thriller that takes one idea---a movie with non-stop violence , death , and villains---and runs with it , or should i say , barely manages to crawl away with it . 
",negative
"did i do something bad ? 
",negative
"plot : something about a bunch of kids going into a haunted house and playing out parodies of other horror and non-horror movies . 
",negative
"the cartoon is way better . 
",negative
" "" spawn "" may be somewhat of an older film . 
",negative
"from a major league baseball radio broadcast , featuring play-by- play man harry canary and color man whitey hashbrown , with special guest commentator james berardinelli . 
",negative
"it's time to take cover . 
",negative
"capsule : a ham-handed and over/underwritten morality play masquerading as entertainment , so muddled it doesn't even know what it's really advocating , if anything . 
",negative
" "" deep rising "" gives you that sinking feeling both literally and figuratively : not only does the movie take place on a cruise ship slowly being immersed into the middle of the ocean by a squid-like menace , but the unfolding story is artificial , silly and almost completely derivative of countless other ( and , for the most part , better ) films . 
",negative
" "" mandingo "" has traditionally been seen as one of two things : either a much-needed revisionist look at slavery in the south , or in the words of film critic leonard maltin , "" a trashy potboiler "" that "" appeals only to the s&m crowd . "" 
",negative
"the above is dialogue from this film , taken almost completely in context , and not jazzed up a bit to make it more inept than it is . 
",negative
" "" ladybugs "" is a typical comedy that relies on three supposed guarantees : the pathetic team who beats the champs ; cross dressing ; and the presence of rodney dangerfield . 
",negative
"the happy bastard's quick movie review 
",negative
" "" shagadellic ! "" , "" groovy , baby ! "" 
",negative
"robin williams , this time without a beard , returns to drama in this sloppy , sickly sweet fantasy with few redeeming features apart from the incredible effects . 
",negative
"the catch phrase for disney's rocket man is one spoken by fred z . randall ( harland williams ) , the bumbling idiot computer programmer turned astronaut who continuously wreaks havoc everywhere he goes . 
",negative
"based on the novel set in 1914 by joseph conrad , victory spins a tale of a pair of lovers , heyst ( william dafoe ) and alma ( irene jacob ) , who seek refuge on heyst's isolated island . 
",negative
"a couple of criminals ( mario van peebles and loretta devine ) move into a rich family's house in hopes of conning them out of their jewels . 
",negative
"chill factor is a carbon copy of speed with one notable exception : instead of a speeding bus , we now have an ice cream truck . 
",negative
" * * * warning - the following review contains spoilers * * * 
",negative
"retrospective : city of the living dead ( 1980 ) 
",negative
"you know the plot : a dimwit with a shady past is seduced into committing a crime only to be double-crossed by a fatal femme . 
",negative
"the comet-disaster flick is a disaster alright . 
",negative
"years ago , robin williams made _jumanji_ , a brilliant achievement in special effects , but a travesty on nearly every other level . 
",negative
"the original _babe_ was my favorite movie of 1995 , a sleeper hit that transcended its target audience . 
",negative
"at first i was intrigued by the strange cast and odd creatures on the galaxy quest trailer , but that was before i saw the film . 
",negative
"the makers of spawn have created something almost as vacuous as this summer's other comic book adaptation , batman and robin . 
",negative
"phaedra cinema , the distributor of such never-heard-of classics as "" soft toilet seats , "" "" trailer : the movie , "" and "" the one armed boxer vs . the flying guillotine , "" has sneaked its latest release , "" the sculptress , "" into a few theaters this weekend hoping to cash in on a handful of halloween holidaygoers looking for a right good scare . 
",negative
"here is a movie that sadly follows the hong kong-recipe of moviemaking and storytelling to the letter . 
",negative
"after the huge success of "" the exorcist "" in 1973 a sequel was inevitable , and sadly like most horror fims that make money , the filmmakers decided to make a ridiculous sequel , that makes absolutely no sense at all , and to me was extremely pointless , wasting linda blair and max von sydow completely . 
",negative
"the people who populate the movie 54 are shallow , self-absorbed and self-indulgent . 
",negative
"i've always been a kevin kline fan , silverado , fish called wanda , pirates of penzance , and even his hamlet on pbs' great performances . 
",negative
"a month ago i wrote that speed 2 was the worst film i've ever reviewed on paper . 
",negative
"call "" hush "" "" stop or my mom will kill . "" 
",negative
"a big , busy boxing satire with a surprisingly paltry punch , the great white hype stars samuel l . jackson as a shameless boxing promoter whose plan to boost sagging pay-per-view revenues is to "" invent "" a white contender ( peter berg ) to challenge his black heavyweight "" champ "" ( damon wayans ) . 
",negative
"i know there were times during this movie that i laughed pretty hard . 
",negative
"retelling the classic story of joan of arc has been a popular trend this year . 
",negative
"violence is bad . 
",negative
"there ? s nothing quite like a gory anime . 
",negative
"lauded as a genius by many , stanley kubrick commands a superlative filmography that includes such critically-acclaimed films as "" 2001 : a space odyssey , "" "" a clockwork orange , "" "" lolita , "" and "" dr . 
",negative
"by starring in amy heckerling's "" clueless "" two summers ago , alicia silverstone proved she wasn't just another pretty , pouty ingenue , showing a buoyant comedic craftiness that blew all previous jobs -- namely a stint as the aerosmith girl and a silly turn as the lethal lolita of "" the crush "" -- out of the water . 
",negative
" "" . . . because i'm a scientist . 
",negative
"the word to describe sharon stone is "" wonder "" . 
",negative
"the tagline on random hearts reads "" in a perfect world , they never would have met . "" 
",negative
"in double jeopardy , the stakes are high . 
",negative
"synopsis : melissa , a mentally-disturbed woman who likes to smoke , seduces doug , a minor-league baseball player who likes to study anatomy , work on motorcycles , and make out with his girlfriend in a public library . 
",negative
"warner brothers ; rated pg-13 ( mild violence , sexual situations ) ; 132 minutes 
",negative
"disconnect the phone line . 
",negative
"running time approximately 1hr 40mins 
",negative
"in china in 1982 i turned the tables on our national guide and asked him if he had any questions about america . 
",negative
"the "" fab 4 "" of ronald reagan high are four stuck-up girls , played by rose mcgowan , rebecca gayheart , julie benz and charlotte roldan , who overdress like 4 posh spice wannabes . 
",negative
"hollywood never fails to astound me . 
",negative
"i have little against remakes and updates of older films and tv series . 
",negative
"when the mediums in question are video game and feature film , has there ever been a respective here-to-there transformation that achieved any ground higher than noodle-headed mediocrity ? 
",negative
"it's almost amusing to watch 21-year old christina ricci get drastically overshadowed in sally potter's follow-up to 1997's the tango lesson , the man who cried . 
",negative
"sandra bullock in high heels and wielding a chainsaw ? 
",negative
"how do films like mouse hunt get into theatres ? 
",negative
"miramax "" disinvited "" on-line media from press screenings of scream 3 . 
",negative
"a backdrop of new year's eve in 1981 would seem to lend itself to a great party movie . 
",negative
"the premise of the new james wong film , final destination , is that alex browning , the protagonist , prevents six of his friends from boarding a doomed airplane , thereby cheating fate . 
",negative
"there is a scene in patch adams in which patch is in the center of a courtroom , surrounded by people who are giving him a lively standing ovation because of his strong-worded attack on a group of stoic doctors . 
",negative
"i have a great idea for a movie , one that can't miss . 
",negative
"as any reasonable human being would , i must admit that occasionally i am befuddled by certain things . 
",negative
"staring , george clooney , arnold schwarzenegger , chris o'donnell and uma thurman with alicia silverstone . 
",negative
"even though i have the utmost respect for richard dreyfuss as an actor , his presence in a motion picture does not guarantee any particular level of quality . 
",negative
"movies about teenagers and teenage culture rarely prove to be either interesting , entertaining or convincing , because of one fundamental reason : movies are made by adults and not teenagers . 
",negative
"way of the gun is brimming with surprises , some good , most bad . 
",negative
"when critics attack seemingly well-intentioned films like patch adams or more recently pay it forward as i am about to do , their opinions are often greeted with a backlash of angry e-mails , sometimes even mock death threats from those who ( i suppose ) like to be shamelessly manipulated by their entertainment . 
",negative
"where do i begin ? 
",negative
"adam sandler turns up the charm in his latest romantic comedy , the wedding singer . 
",negative
"arriving in a barrage of hype , the blair witch project is one of the biggest box office success of the year . 
",negative
"the u . s . army utilizes a number of books known as field manuals which stipulate the specific way in which almost every action imaginable must be done . 
",negative
"i don't appreciate it when a thriller manipulates the viewer into thinking the plot is interesting , when in fact it's ludicrous . 
",negative
"at one point in this movie there is a staging of an opera that goes completely wrong . 
",negative
"the new austin powers film continues a movie tradition begun in the eighties . 
",negative
"to sum the entire film "" 54 "" up in one sentence , it would be : watch a vh1 documentary instead . 
",negative
"you know , i never really wondered what the tarzan films would have been like had tarzan been an old man . 
",negative
"in the finale of disney's "" mighty joe young , "" a 15-foot tall , 2000-pound gorilla holds a frightened young boy in its clutches as it topples from a crippled ferris wheel and plummets to the ground . 
",negative
"an attempt at florida film noir , palmetto fails at the most fundamental levels . 
",negative
"this film is worth seeing for those who want to see what mick jagger looks like when sporting an abe lincoln beard . 
",negative
"i think we should , as responsible citizens , all get together and stop jim carrey from making another movie . 
",negative
"the best thing -- in fact , the only good thing -- i can say about dark city is that it made me want to go see l . a . confidential again . 
",negative
"you always have to be careful with the first official studio release out of the gate each year . 
",negative
"synopsis : easily-angered , chainsmoking architect david encounters his homicidal first wife diedre five years after their divorce . 
",negative
"the blues brothers was a wonderful film , a hilarious comedy packed with good music . 
",negative
"michael crichton has had a long career of writing novels , many of which are science fiction . 
",negative
"american pie 2 is filled with laughs . 
",negative
"well , what are you going to expect ? 
",negative
"this film is extraordinarily horrendous and i'm not going to waste any more words on it . 
",negative
"midway through "" anaconda "" , documentary filmmaker terri flores ( jennifer lopez ) turns to a co-worker and says "" i thought this movie would be my first big break . 
",negative
"if the 70's nostalgia didn't make you feel old , the 80's nostalgia is bound to . 
",negative
"synopsis : nice girl susanne has sex with her boyfriend daniel in his car , visits daniel's rich family during thanksgiving at their mansion in the middle of nowhere , and has sex with daniel again in the basement . 
",negative
"well lets see . . . i'm 
",negative
"14 years ago , national lampoon introduced us to a new family - the griswolds . 
",negative
"plunkett & macleane marks the directing debut of jake scott , brother of ridley and tony . 
",negative
"capsule : silly and inane adaptation of gibson's short story , which is nowhere in sight . 
",negative
"i didn't hate the big hit , even though it is a stupefyingly terrible film . 
",negative
"when the film features richard lynch in the role of chief villain , you know that you can expect nothing more than a b grade action movie . 
",negative
"what are the warning signs of a * terrible * movie ? 
",negative
"you don't look at a ren ? magritte painting and search for a deeper meaning . 
",negative
"well , as i check my score card for what i've done this holiday weekend , it reads good ideas : 0 and dumb ideas : 1 . 
",negative
"terrence malick made an excellent 90 minute film adaptation of james jones' world war ii novel . 
",negative
"i cried during _babe_ . 
",negative
"saw an advanced screening of the movie sniper last night , and i have to say i wasn't too impressed . 
",negative
"an 18-foot-high , 43-foot-long dragon is the computer-generated co- star of this strictly-by-the-numbers sword 'n' sorcery flick . 
",negative
"1989's "" major league "" was a delightful surprise . 
",negative
" * * * the following review contains some harsh language . . . 
",negative
"one of the indicator of badness in film is the hype being remembered more than film itself . 
",negative
"let's get this one over with as quickly as possible . 
",negative
"woody allen is one of the most successful artist-directors in hollywood , but he is becoming less and less reliable as a filmmaker . 
",negative
"here's a rarity : a children's film that attempts to tackle a weighty subject , is there a god ? 
",negative
"there's no reason to doubt that donnie brasco is based , as its opening credits proclaim , on a true story . 
",negative
"these days the lack of originality in hollywood reflects itself in the deluge of remakes . 
",negative
"i have never been so confused after watching a movie . 
",negative
"this is crap , but , honestly , what older american audience is going to be able to resist seeing jack lemmon and james garner as bicker- ing ex-presidents ? 
",negative
"keep cool , a chinese film directed by semi-accomplished filmmaker yimou zhang , was one of the kickoff films for this year's hawaii international film festival . 
",negative
"although i had not been a viewer of the "" rugrats "" television series , i went into their first animated feature film , "" the rugrats movie , "" with a positive attitude . 
",negative
"plunkett & macleane is a period piece mired down by modern mtv pretentions . 
",negative
" * this review contains spoilers * as with most of her films , director amy heckerling's latest , loser , seesaws between unpleasant and artificial , and is sometimes both at once . 
",negative
"fantastically over hyped , godzila finally lumbers onto the big screen . 
",negative
"movie concepts are often pitched to producers with mathematical formulas involving successful films of the past . 
",negative
"well arnold has completed the seemingly impossible task . 
",negative
"whether or not i would be considered a trekker probably depends on whom you would ask . 
",negative
"they should have stuck to the promise emblazoned on the original movie's poster : "" no sequel . "" 
",negative
"vikings v . bears ? 
",negative
"apparently , when crap calls , jim carrey answers . 
",negative
"one of my favorite songs by the stranglers includes the lyric , "" you'd better watch out for the skin deep . "" 
",negative
"this movie about two dysfunctional families never really gets off the ground , despite some good performances from a basically competent cast . 
",negative
"michael richards leaves his spot as kramer on the infamous seinfeld tv sitcom for a stint as a lanky , goofy best friend to jeff daniels' lawyer character in this ill-fated , and unfunny , "" comedy "" . 
",negative
"jackie chan kicks his way into van damme territory with twin dragons , an embarrassingly bland action comedy of mistaken identities . 
",negative
"the general's daughter will probably be the cleverest stupid film we'll see this year -- or perhaps the stupidest clever film . 
",negative
"cradle will rock is the latest effort from director/actor tim robbins . 
",negative
"disillusioned and trying to find the spice of life , richard ( leonardo dicaprio ) sets off for thailand . 
",negative
"kate ( jennifer aniston ) is having some problems . 
",negative
"this review contains spoilers , but believe me , i don't say anything you can't guess 10 minutes into the movie . 
",negative
" "" have you ever heard the one about a movie so bad that it made a guy run out of the theatre screaming ? "" 
",negative
" "" we are grateful that we have the songs of grace chan to comfort us . "" 
",negative
"what happens when you put martin lawrence in a fat suit in real life ? 
",negative
"blatantly borrowing elements from 1993's "" like water for chocolate "" and 1991's "" the butcher's wife , "" "" simply irresistible "" attempts to be a whimsical romantic comedy but , more often than not , comes off as laughable , leaving you to wonder why rising star sarah michelle gellar ( t . v . 's "" buffy , the vampire slayer "" ) would choose such an obviously inept film project to waste her time on . 
",negative
"i wont even pretend that i have seen the other 3 alien films . 
",negative
"synopsis : lifelong friends rafe ( affleck ) and danny ( hartnett ) join the us air force and are stationed at pearl harbor , hawaii . 
",negative
"this is a film that i was inclined to like at the outset : the two main characters had been involved with the fine television drama st . 
",negative
"i love movies . 
",negative
"i looked at the "" internet movie database "" 's awards section for this film , and found that this was nominated for a golden globe for "" best picture ( drama ) . "" 
",negative
"the formula is simple . 
",negative
"the thirteenth floor is a bland , obligatory exercise in genre film-making . 
",negative
"my giant begins with a monologue that's more funny than not and a distinctive `princess bride , ' medieval fairy-tale-in-the- ? 90s feel . 
",negative
"alexandre dumas meets hong kong action with newcomer justin chambers reprising the oft-played character of dashing swordsman d'artagnon in director peter hyam's adventure "" the musketeer . "" 
",negative
"i think maybe it's time for the batman series to be put to rest . 
",negative
"in my opinion , a movie reviewer's most important task is to offer an explanation for his opinion . 
",negative
"reading the cast and director for the new mobster comedy , "" analyze this , "" i asked myself , "" how could this miss ? "" 
",negative
"as we see the terrible events that unfold before our eyes in the middle east at the moment , hollywood doesn't loose the oppertunity to get involved , by telling stories and expressing opinions . 
",negative
"from dusk till dawn ( director/editor : robert rodriguez ; screenwriters : quentin tarantino/robert kurtzman ( story ) ; cinematographer : guillermo navarro ; cast : quentin tarantino ( richie gecko ) , george clooney ( seth gecko ) , juliette lewis ( kate fuller ) , harvey keitel ( jacob fuller ) , ernest liu ( scott fuller ) , salma hayek ( santanico pandemonium ) , tom savini ( sex machine ) , fred williamson ( frost ) , cheech marin ( border guard/chet pussy/carlos ) , michael parks ( texas ranger ) , brenda hillhouse ( hostage gloria ) ; runtime : 108 ; dimension films ; 1996 ) 
",negative
"plot : a little boy born in east germany ( named hansel ) loves the american music . 
",negative
"8mm is not going to enlighten your day . 
",negative
"synopsis : original "" jurassic park "" survivor alan grant ( neill ) is tricked by paul and amanda kirby ( macy and leoni ) into leading an expedition to an island overrun by dinosaur , to rescue their stranded son . 
",negative
"the characters in jonathan lynn's "" the whole nine yards , "" yet another in an endless recent string of mob comedies ( 1999's "" analyze this "" and "" mickey blue eyes , "" 2000's "" gun shy "" ) , are rarely ever written as real people , but merely as one-dimensional caricatures . 
",negative
"take two old and dying men , a lifetime of regrets , a house full of sins , a thoroughly despicable man , enough lies , insecurities and other character defects to keep a team of psychiatrists gainfully employed , then add a inexplicable meteorological and amphibian-based phenomenon and you will have summed up magnolia , the newest film from paul thomas anderson ( boogie nights ) . 
",negative
"so much for sweet returns . 
",negative
"around the end of 1998 , a japanese cartoon came to the usa television , and really wasn't that big . 
",negative
"its a stupid little movie that trys to be clever and sophisticated , yet trys a bit too hard . 
",negative
"godzilla is a nuclear freak . 
",negative
"after the recent animated debacles of , "" a rugrats movie , "" and "" a bug's life , "" i am seriously considering raising my highly negative rating on dreamworks' other insect film from october , "" antz . "" 
",negative
"once upon a time jean-claude van damme was a decent action hero . 
",negative
"the year is barely a week old , and there is already a candidate for the worst of 1997--the relic , a would-be chiller that's more successful at making the audience laugh than scream . 
",negative
"susan granger's review of "" two can play that game "" ( screen gems ) 
",negative
"susan granger's review of "" glitter "" ( 20th century-fox ) 
",negative
"the ads make "" hanging up "" seem like an upbeat comedy about a rascally father and his three daughters . 
",negative
"this is the worst movie i've seen since the "" so bad i walked out on it "" "" jingle all the way "" . 
",negative
"when i ponder childhood memories past , one of the things that always springs immediately to mind is watching the "" inspector gadget "" tv show with my older brother . 
",negative
"perhaps if the impostors didn't have so much going for it , it wouldn't have been such a tremendous disappointment . 
",negative
"this was the last carry on movie ( if you discount 'carry on columbus' as a carry on movie ) and was made by a new production company . 
",negative
"if you're debating whether or not to see _breakfast_of_champions_ , ask yourself one simple question : do you want to see nick nolte in lingerie ? 
",negative
"suicide is pointless , everyone should know that . 
",negative
"the realm of science fiction has always been an allegory of political and or moral sensibilities . 
",negative
"back in february at the monthly los angeles comic book and science fiction convention , new line cinema put on a lavish presentation for its big-screen update of the cult 1960s sci-fi tv show lost in space , complete with in-person appearances by cast members mimi rogers , matt leblanc , lacey chabert , jack johnson , and even gary oldman . 
",negative
"the working title for no looking back was long time , nothing new , and rarely has there been a more apt name for a motion picture . 
",negative
"the job of the film critic is to see a movie and write a review of it that tells you what it's about and why it's good or bad . 
",negative
"i've got to admit it . . . 
",negative
"for about twenty minutes into mission impossible 2 director john woo ( the killer , hard boiled , face off ) appears to have made an exciting , elegant , charming spy thriller , kind of a post millennium james bond adventure with a strapping american ( read : unsophisticated ) hero more willing to drop kick villains than out fox them . 
",negative
"every now and then , reviewers are faced with the films that are hard to be properly reviewed . 
",negative
"the only two really good things that i can say about tarzan and the lost city are as follows : jane march was very cute as jane , and the movie was thankfully under 90 minutes in length . 
",negative
"silly performances and some huge gaps in logic mar an otherwise interesting tale of an eclectic group of people stranded at "" the last stop cafe and motel "" due to heavy snowfall . 
",negative
"so i went and saw this film right , it was called "" battlefield : earth "" , i was never interested in the previews , and never too terribly interested in the book , nor do i find scientology interesting , but after reading advanced reviews of how bad this film really is , i had that weird urge just to watch it . 
",negative
"by phil curtolo "" madonna - antonio banderas - jonathan price - in an alan parker film - with music from andrew lloyd weber - and lyrics by tim rice - evita . "" 
",negative
"i have never seen a man so in love with himself than george lucas . 
",negative
"an affluent horse breeder's past comes up to haunt him ; an ages old cover-up and blackmail comes back to haunt him at the hands of one of his accomplices . 
",negative
"a fullyloaded entertainment review : website coming soon ! 
",negative
"filmmakers will use all manner of tricks to flesh out and brighten up a dull , dreary , and overused idea . 
",negative
"i feel sorry for the financial backers of "" waterworld , "" which is supposedly the most expensive film ever made ( at $172 million ! ) , and is also one of the stupidest - boy did they get ripped off ! 
",negative
"to watch `battlefield earth' is to wallow in misery . 
",negative
" "" you can't have any of this . 
",negative
"an 80-year old woman jumps enthusiastically on her couch , wearing tight-fitting leather , as she cheers on her favorite tv wrestler by calling his opponent a `pump-bitch' . 
",negative
"it's a rare treat when a quality horror film is released in the theater . 
",negative
"joe versus the volcano is really one of the worse movies made in very recent memory . 
",negative
" "" be gentle , "" urges natasha henstridge to matthew perry in "" the whole nine yards . "" 
",negative
" "" flubber "" is the second best example of how to take all the life out of a film remake an adaptation , and hysterically enough both were distributed by disney . 
",negative
"i'm going to start this review off with a hypothetical question . 
",negative
"susan granger's review of "" session 9 "" ( usa films ) 
",negative
"by the time dennis quaid , the ostensible star of switchback , makes his first appearance at about the 22-minute mark , you may find yourself wondering why he bothered . 
",negative
"gregg araki's the doom generation was possibly the very worst film ever made . 
",negative
"sometimes , when i decide to write a short story or a poem , i think of a title first , and then think of a subject to go with it . 
",negative
"written by david j . schow and john shirley , based on the comic book series and comic book strip by james o'barr . 
",negative
"synopsis : sullen julie james , still haunted by nightmares of the killer ben willis from i know what you did last summer , perks up when her new best friend karla wilson wins a trip for four to the bahamas . 
",negative
"note : some may consider portions of the following text to be spoilers . 
",negative
"what's to like about the world of extremely violent trash pornography--ie . 
",negative
"in the james bond film "" diamonds are forever , "" tiffany case asks 007 whether he prefers brunettes to redheads . 
",negative
"if i were to plot a graph of year against movie-plot-ridiculity for = hollywood movies , you'll probably see a line with constant gradient . 
",negative
" "" tina ! ! ! fetch me the axe ! ! ! "" 
",negative
"phil ( radmar jao ) has a hairy problem . 
",negative
"writer/director lawrence kasdan had a hand in penning some of the biggest film successes of the 1980s . 
",negative
"ladies and gentlemen , payback is the most expensive episode of "" the equalizer "" i've ever seen . 
",negative
"when you've run out of old tv shows to turn into movies , i guess you try video games . 
",negative
"the swooping shots across darkened rooftops suggest a very tim burton movie , but , alas , no caped crusader descends to save * this * film . 
",negative
"guilt . guilt is something i felt while watching basic instinct for the ninth time ; the penultimate t & a thriller , basic instinct made my last few teenage years worth living . 
",negative
" "" what's your favorite new york moment ? "" 
",negative
"i didn't come into city of angels expecting greatness . 
",negative
"plot summary : the year is 2024 . 
",negative
"200 cigarettes takes place on new year's eve 1981 . 
",negative
"i'll bet right now you're just lounging by the pool , humming "" i will always love you "" and wistfully recalling your candlelight dinners with success . 
",negative
" "" i seem to have glued myself . . . 
",negative
"i'll be the first to admit it . 
",negative
" "" you damn dirty apes ! "" 
",negative
"new address . 
",negative
"the one question that eats at me after seeing corky romano is why touchstone spent so much money marketing this throwaway film . 
",negative
"kids today , they don't just want to see heartthrob and master thespian freddie prinze jr . loving on the ladies . 
",negative
"plot : two sister witches have to live with a curse placed upon their family , which prevents them from ever enjoying a full life with a lover . 
",negative
"tri-star ; rated r ( language , sexual situations , violence ) ; 87 minutes 
",negative
" "" with all that education , you should know what happiness is . "" 
",negative
"the first in a very long list of things wrong with "" i still know what you did last summer "" is the title . 
",negative
" "" there's nothing new under the sun "" is a phrase often used when the speaker actually means "" let's find something to copy . "" 
",negative
"plot outline - wendy ( samantha press ) , a jazz singer , loves mack ( hugo race ) a criminal and wanna be rock singer who's planning a bank heist . 
",negative
